date, datatype, valuestation,attributes
2015-01-25T00:00:00,WDF2,290,GHCND:USW00014764,",,W,"
2015-01-25T00:00:00,WDF5,330,GHCND:USW00014764,",,W,"
2015-01-25T00:00:00,WSF2,10.3,GHCND:USW00014764,",,W,"
2015-01-25T00:00:00,WSF5,13.0,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,AWND,3.7,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-26T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,SNWD,100.0,GHCND:USW00014764,",,W,2400"
2015-01-26T00:00:00,TAVG,-10.3,GHCND:USW00014764,"H,,S,"
2015-01-26T00:00:00,TMAX,-6.6,GHCND:USW00014764,",,W,2400"
2015-01-26T00:00:00,TMIN,-16.0,GHCND:USW00014764,",,W,2400"
2015-01-26T00:00:00,WDF2,10,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,WDF5,10,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,WSF2,9.4,GHCND:USW00014764,",,W,"
2015-01-26T00:00:00,WSF5,12.1,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,AWND,11.2,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,PRCP,60.2,GHCND:USW00014764,",,W,2400"
2015-01-27T00:00:00,SNOW,564.0,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,SNWD,200.0,GHCND:USW00014764,",,W,2400"
2015-01-27T00:00:00,TAVG,-9.8,GHCND:USW00014764,"H,,S,"
2015-01-27T00:00:00,TMAX,-8.2,GHCND:USW00014764,",,W,2400"
2015-01-27T00:00:00,TMIN,-11.6,GHCND:USW00014764,",,W,2400"
2015-01-27T00:00:00,WDF2,350,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WDF5,340,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WSF2,15.7,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WSF5,21.5,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WT02,1,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-27T00:00:00,WT09,1,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,AWND,5.4,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,PRCP,1.8,GHCND:USW00014764,",,W,2400"
2015-01-28T00:00:00,SNOW,41.0,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,SNWD,430.0,GHCND:USW00014764,",,W,2400"
2015-01-28T00:00:00,TAVG,-7.2,GHCND:USW00014764,"H,,S,"
2015-01-28T00:00:00,TMAX,-3.2,GHCND:USW00014764,",,W,2400"
2015-01-28T00:00:00,TMIN,-13.8,GHCND:USW00014764,",,W,2400"
2015-01-28T00:00:00,WDF2,10,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,WDF5,340,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,WSF2,13.9,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,WSF5,17.9,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-28T00:00:00,WT09,1,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,AWND,1.0,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-29T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,SNWD,380.0,GHCND:USW00014764,",,W,2400"
2015-01-29T00:00:00,TAVG,-9.5,GHCND:USW00014764,"H,,S,"
2015-01-29T00:00:00,TMAX,-1.0,GHCND:USW00014764,",,W,2400"
2015-01-29T00:00:00,TMIN,-19.3,GHCND:USW00014764,",,W,2400"
2015-01-29T00:00:00,WDF2,280,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,WDF5,280,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,WSF2,4.5,GHCND:USW00014764,",,W,"
2015-01-29T00:00:00,WSF5,4.9,GHCND:USW00014764,",,W,"
2015-01-30T00:00:00,AWND,3.2,GHCND:USW00014764,",,W,"
2015-01-30T00:00:00,PRCP,9.7,GHCND:USW00014764,",,W,2400"
2015-01-30T00:00:00,SNOW,109.0,GHCND:USW00014764,",,W,"
2015-01-30T00:00:00,SNWD,380.0,GHCND:USW00014764,",,W,2400"
